Datum,Value,Code
2012-02-05 00:00:00,51,C02-80
2012-02-05 00:00:00,372,J16-90
2012-02-05 00:00:00,622,PB6090
2012-02-05 00:00:00,318,TB80120G
2012-02-06 00:00:00,227,A01-80-(30)
2012-02-06 00:00:00,979,AHEK
2012-02-06 00:00:00,53,C02-80
2012-02-06 00:00:00,390,J16-90
2012-02-06 00:00:00,641,PB6090
2012-02-06 00:00:00,324,TB80120G
2012-02-07 00:00:00,232,A01-80-(30)
2012-02-07 00:00:00,947,AHEK
2012-02-07 00:00:00,53,C02-80
2012-02-07 00:00:00,395,J16-90
2012-02-07 00:00:00,631,PB6090
2012-02-07 00:00:00,322,TB80120G
2012-02-08 00:00:00,230,A01-80-(30)
2012-02-08 00:00:00,942,AHEK
2012-02-08 00:00:00,57,C02-80
2012-02-08 00:00:00,400,J16-90
2012-02-08 00:00:00,625,PB6090
2012-02-08 00:00:00,319,TB80120G
2012-02-09 00:00:00,231,A01-80-(30)
2012-02-09 00:00:00,933,AHEK
2012-02-09 00:00:00,57,C02-80
2012-02-09 00:00:00,403,J16-90
2012-02-09 00:00:00,674,PB6090
2012-02-09 00:00:00,334,TB80120G
2012-02-10 00:00:00,231,A01-80-(30)
2012-02-10 00:00:00,950,AHEK
2012-02-10 00:00:00,62,C02-80
2012-02-10 00:00:00,407,J16-90
2012-02-10 00:00:00,692,PB6090
2012-02-10 00:00:00,344,TB80120G
2012-02-11 00:00:00,217,A01-80-(30)
2012-02-11 00:00:00,929,AHEK
2012-02-11 00:00:00,56,C02-80
2012-02-11 00:00:00,389,J16-90
2012-02-11 00:00:00,692,PB6090
2012-02-11 00:00:00,343,TB80120G
2012-02-12 00:00:00,217,A01-80-(30)
2012-02-12 00:00:00,931,AHEK
2012-02-12 00:00:00,56,C02-80
2012-02-12 00:00:00,389,J16-90
2012-02-12 00:00:00,692,PB6090
2012-02-12 00:00:00,343,TB80120G
2012-02-13 00:00:00,217,A01-80-(30)
2012-02-13 00:00:00,931,AHEK
2012-02-13 00:00:00,56,C02-80
2012-02-13 00:00:00,393,J16-90
2012-02-13 00:00:00,702,PB6090
2012-02-13 00:00:00,343,TB80120G
2012-02-14 00:00:00,225,A01-80-(30)
2012-02-14 00:00:00,937,AHEK
2012-02-14 00:00:00,51,C02-80
2012-02-14 00:00:00,398,J16-90
2012-02-14 00:00:00,645,PB6090
2012-02-14 00:00:00,329,TB80120G
2012-02-15 00:00:00,254,A01-80-(30)
2012-02-15 00:00:00,965,AHEK
2012-02-15 00:00:00,51,C02-80
2012-02-15 00:00:00,444,J16-90
2012-02-15 00:00:00,645,PB6090
2012-02-15 00:00:00,356,TB80120G
2012-02-16 00:00:00,282,A01-80-(30)
2012-02-16 00:00:00,981,AHEK
2012-02-16 00:00:00,48,C02-80
2012-02-16 00:00:00,485,J16-90
2012-02-16 00:00:00,649,PB6090
2012-02-16 00:00:00,358,TB80120G
2012-02-17 00:00:00,299,A01-80-(30)
2012-02-17 00:00:00,1013,AHEK
2012-02-17 00:00:00,50,C02-80
2012-02-17 00:00:00,502,J16-90
2012-02-17 00:00:00,655,PB6090
2012-02-17 00:00:00,384,TB80120G
2012-02-18 00:00:00,287,A01-80-(30)
2012-02-18 00:00:00,1002,AHEK
2012-02-18 00:00:00,48,C02-80
2012-02-18 00:00:00,490,J16-90
2012-02-18 00:00:00,651,PB6090
2012-02-18 00:00:00,381,TB80120G
2012-02-19 00:00:00,287,A01-80-(30)
2012-02-19 00:00:00,1002,AHEK
2012-02-19 00:00:00,48,C02-80
2012-02-19 00:00:00,490,J16-90
2012-02-19 00:00:00,651,PB6090
2012-02-19 00:00:00,381,TB80120G
2012-02-20 00:00:00,318,A01-80-(30)
2012-02-20 00:00:00,1066,AHEK
2012-02-20 00:00:00,48,C02-80
2012-02-20 00:00:00,543,J16-90
2012-02-20 00:00:00,699,PB6090
2012-02-20 00:00:00,405,TB80120G
2012-02-21 00:00:00,312,A01-80-(30)
2012-02-21 00:00:00,1082,AHEK
2012-02-21 00:00:00,46,C02-80
2012-02-21 00:00:00,536,J16-90
2012-02-21 00:00:00,709,PB6090
2012-02-21 00:00:00,419,TB80120G
2012-02-22 00:00:00,323,A01-80-(30)
2012-02-22 00:00:00,1146,AHEK
2012-02-22 00:00:00,46,C02-80
2012-02-22 00:00:00,559,J16-90
2012-02-22 00:00:00,726,PB6090
2012-02-22 00:00:00,422,TB80120G
2012-02-23 00:00:00,335,A01-80-(30)
2012-02-23 00:00:00,1148,AHEK
2012-02-23 00:00:00,48,C02-80
2012-02-23 00:00:00,567,J16-90
2012-02-23 00:00:00,721,PB6090
2012-02-23 00:00:00,445,TB80120G
2012-02-24 00:00:00,352,A01-80-(30)
2012-02-24 00:00:00,1204,AHEK
2012-02-24 00:00:00,48,C02-80
2012-02-24 00:00:00,580,J16-90
2012-02-24 00:00:00,798,PB6090
2012-02-24 00:00:00,479,TB80120G
2012-02-25 00:00:00,319,A01-80-(30)
2012-02-25 00:00:00,1125,AHEK
2012-02-25 00:00:00,45,C02-80
2012-02-25 00:00:00,526,J16-90
2012-02-25 00:00:00,820,PB6090
2012-02-25 00:00:00,471,TB80120G
2012-02-26 00:00:00,319,A01-80-(30)
2012-02-26 00:00:00,1125,AHEK
2012-02-26 00:00:00,45,C02-80
2012-02-26 00:00:00,526,J16-90
2012-02-26 00:00:00,820,PB6090
2012-02-26 00:00:00,471,TB80120G
2012-02-27 00:00:00,389,A01-80-(30)
2012-02-27 00:00:00,1222,AHEK
2012-02-27 00:00:00,45,C02-80
2012-02-27 00:00:00,623,J16-90
2012-02-27 00:00:00,864,PB6090
2012-02-27 00:00:00,516,TB80120G
2012-02-28 00:00:00,389,A01-80-(30)
2012-02-28 00:00:00,1241,AHEK
2012-02-28 00:00:00,45,C02-80
2012-02-28 00:00:00,629,J16-90
2012-02-28 00:00:00,863,PB6090
2012-02-28 00:00:00,515,TB80120G
2012-02-29 00:00:00,400,A01-80-(30)
2012-02-29 00:00:00,1299,AHEK
2012-02-29 00:00:00,47,C02-80
2012-02-29 00:00:00,636,J16-90
2012-02-29 00:00:00,884,PB6090
2012-02-29 00:00:00,514,TB80120G
2012-03-01 00:00:00,399,A01-80-(30)
2012-03-01 00:00:00,1292,AHEK
2012-03-01 00:00:00,47,C02-80
2012-03-01 00:00:00,621,J16-90
2012-03-01 00:00:00,890,PB6090
2012-03-01 00:00:00,510,TB80120G
2012-03-02 00:00:00,398,A01-80-(30)
2012-03-02 00:00:00,1260,AHEK
2012-03-02 00:00:00,40,C02-80
2012-03-02 00:00:00,621,J16-90
2012-03-02 00:00:00,889,PB6090
2012-03-02 00:00:00,533,TB80120G
2012-03-03 00:00:00,331,A01-80-(30)
2012-03-03 00:00:00,1148,AHEK
2012-03-03 00:00:00,38,C02-80
2012-03-03 00:00:00,530,J16-90
2012-03-03 00:00:00,865,PB6090
2012-03-03 00:00:00,501,TB80120G
2012-03-04 00:00:00,327,A01-80-(30)
2012-03-04 00:00:00,1127,AHEK
2012-03-04 00:00:00,38,C02-80
2012-03-04 00:00:00,526,J16-90
2012-03-04 00:00:00,853,PB6090
2012-03-04 00:00:00,499,TB80120G
2012-03-05 00:00:00,371,A01-80-(30)
2012-03-05 00:00:00,1302,AHEK
2012-03-05 00:00:00,38,C02-80
2012-03-05 00:00:00,603,J16-90
2012-03-05 00:00:00,989,PB6090
2012-03-05 00:00:00,559,TB80120G
2012-03-06 00:00:00,371,A01-80-(30)
2012-03-06 00:00:00,1361,AHEK
2012-03-06 00:00:00,38,C02-80
2012-03-06 00:00:00,625,J16-90
2012-03-06 00:00:00,1035,PB6090
2012-03-06 00:00:00,560,TB80120G
2012-03-07 00:00:00,378,A01-80-(30)
2012-03-07 00:00:00,1393,AHEK
2012-03-07 00:00:00,40,C02-80
2012-03-07 00:00:00,617,J16-90
2012-03-07 00:00:00,1102,PB6090
2012-03-07 00:00:00,567,TB80120G
2012-03-08 00:00:00,386,A01-80-(30)
2012-03-08 00:00:00,1319,AHEK
2012-03-08 00:00:00,40,C02-80
2012-03-08 00:00:00,639,J16-90
2012-03-08 00:00:00,1012,PB6090
2012-03-08 00:00:00,570,TB80120G
2012-03-09 00:00:00,383,A01-80-(30)
2012-03-09 00:00:00,1357,AHEK
2012-03-09 00:00:00,45,C02-80
2012-03-09 00:00:00,645,J16-90
2012-03-09 00:00:00,1001,PB6090
2012-03-09 00:00:00,607,TB80120G
2012-03-10 00:00:00,361,A01-80-(30)
2012-03-10 00:00:00,1308,AHEK
2012-03-10 00:00:00,45,C02-80
2012-03-10 00:00:00,614,J16-90
2012-03-10 00:00:00,963,PB6090
2012-03-10 00:00:00,584,TB80120G
2012-03-11 00:00:00,346,A01-80-(30)
2012-03-11 00:00:00,1285,AHEK
2012-03-11 00:00:00,45,C02-80
2012-03-11 00:00:00,599,J16-90
2012-03-11 00:00:00,963,PB6090
2012-03-11 00:00:00,582,TB80120G
2012-03-12 00:00:00,405,A01-80-(30)
2012-03-12 00:00:00,1454,AHEK
2012-03-12 00:00:00,46,C02-80
2012-03-12 00:00:00,692,J16-90
2012-03-12 00:00:00,1031,PB6090
2012-03-12 00:00:00,632,TB80120G
2012-03-13 00:00:00,434,A01-80-(30)
2012-03-13 00:00:00,1450,AHEK
2012-03-13 00:00:00,40,C02-80
2012-03-13 00:00:00,719,J16-90
2012-03-13 00:00:00,1023,PB6090
2012-03-13 00:00:00,619,TB80120G
2012-03-14 00:00:00,412,A01-80-(30)
2012-03-14 00:00:00,1416,AHEK
2012-03-14 00:00:00,36,C02-80
2012-03-14 00:00:00,699,J16-90
2012-03-14 00:00:00,991,PB6090
2012-03-14 00:00:00,609,TB80120G
2012-03-15 00:00:00,435,A01-80-(30)
2012-03-15 00:00:00,1417,AHEK
2012-03-15 00:00:00,37,C02-80
2012-03-15 00:00:00,711,J16-90
2012-03-15 00:00:00,983,PB6090
2012-03-15 00:00:00,601,TB80120G
2012-03-16 00:00:00,423,A01-80-(30)
2012-03-16 00:00:00,1393,AHEK
2012-03-16 00:00:00,37,C02-80
2012-03-16 00:00:00,711,J16-90
2012-03-16 00:00:00,1005,PB6090
2012-03-16 00:00:00,595,TB80120G
2012-03-17 00:00:00,375,A01-80-(30)
2012-03-17 00:00:00,1257,AHEK
2012-03-17 00:00:00,30,C02-80
2012-03-17 00:00:00,628,J16-90
2012-03-17 00:00:00,909,PB6090
2012-03-17 00:00:00,561,TB80120G
2012-03-18 00:00:00,371,A01-80-(30)
2012-03-18 00:00:00,1251,AHEK
2012-03-18 00:00:00,30,C02-80
2012-03-18 00:00:00,620,J16-90
2012-03-18 00:00:00,909,PB6090
2012-03-18 00:00:00,557,TB80120G
2012-03-19 00:00:00,428,A01-80-(30)
2012-03-19 00:00:00,1414,AHEK
2012-03-19 00:00:00,34,C02-80
2012-03-19 00:00:00,725,J16-90
2012-03-19 00:00:00,978,PB6090
2012-03-19 00:00:00,590,TB80120G
2012-03-20 00:00:00,449,A01-80-(30)
2012-03-20 00:00:00,1356,AHEK
2012-03-20 00:00:00,34,C02-80
2012-03-20 00:00:00,753,J16-90
2012-03-20 00:00:00,896,PB6090
2012-03-20 00:00:00,572,TB80120G
2012-03-21 00:00:00,444,A01-80-(30)
2012-03-21 00:00:00,1330,AHEK
2012-03-21 00:00:00,39,C02-80
2012-03-21 00:00:00,735,J16-90
2012-03-21 00:00:00,893,PB6090
2012-03-21 00:00:00,556,TB80120G
2012-03-22 00:00:00,428,A01-80-(30)
2012-03-22 00:00:00,1393,AHEK
2012-03-22 00:00:00,36,C02-80
2012-03-22 00:00:00,709,J16-90
2012-03-22 00:00:00,951,PB6090
2012-03-22 00:00:00,578,TB80120G
2012-03-23 00:00:00,457,A01-80-(30)
2012-03-23 00:00:00,1419,AHEK
2012-03-23 00:00:00,35,C02-80
2012-03-23 00:00:00,754,J16-90
2012-03-23 00:00:00,1043,PB6090
2012-03-23 00:00:00,635,TB80120G
2012-03-24 00:00:00,431,A01-80-(30)
2012-03-24 00:00:00,1325,AHEK
2012-03-24 00:00:00,29,C02-80
2012-03-24 00:00:00,699,J16-90
2012-03-24 00:00:00,957,PB6090
2012-03-24 00:00:00,588,TB80120G
2012-03-25 00:00:00,431,A01-80-(30)
2012-03-25 00:00:00,1325,AHEK
2012-03-25 00:00:00,29,C02-80
2012-03-25 00:00:00,699,J16-90
2012-03-25 00:00:00,957,PB6090
2012-03-25 00:00:00,590,TB80120G
2012-03-26 00:00:00,508,A01-80-(30)
2012-03-26 00:00:00,1477,AHEK
2012-03-26 00:00:00,36,C02-80
2012-03-26 00:00:00,816,J16-90
2012-03-26 00:00:00,1016,PB6090
2012-03-26 00:00:00,648,TB80120G
2012-03-27 00:00:00,511,A01-80-(30)
2012-03-27 00:00:00,1454,AHEK
2012-03-27 00:00:00,36,C02-80
2012-03-27 00:00:00,810,J16-90
2012-03-27 00:00:00,1016,PB6090
2012-03-27 00:00:00,642,TB80120G
2012-03-28 00:00:00,500,A01-80-(30)
2012-03-28 00:00:00,1415,AHEK
2012-03-28 00:00:00,35,C02-80
2012-03-28 00:00:00,787,J16-90
2012-03-28 00:00:00,970,PB6090
2012-03-28 00:00:00,647,TB80120G
2012-03-29 00:00:00,524,A01-80-(30)
2012-03-29 00:00:00,1472,AHEK
2012-03-29 00:00:00,35,C02-80
2012-03-29 00:00:00,814,J16-90
2012-03-29 00:00:00,1002,PB6090
2012-03-29 00:00:00,679,TB80120G
2012-03-30 00:00:00,519,A01-80-(30)
2012-03-30 00:00:00,1480,AHEK
2012-03-30 00:00:00,34,C02-80
2012-03-30 00:00:00,803,J16-90
2012-03-30 00:00:00,987,PB6090
2012-03-30 00:00:00,683,TB80120G
2012-03-31 00:00:00,490,A01-80-(30)
2012-03-31 00:00:00,1356,AHEK
2012-03-31 00:00:00,31,C02-80
2012-03-31 00:00:00,752,J16-90
2012-03-31 00:00:00,952,PB6090
2012-03-31 00:00:00,644,TB80120G
2012-04-01 00:00:00,484,A01-80-(30)
2012-04-01 00:00:00,1332,AHEK
2012-04-01 00:00:00,31,C02-80
2012-04-01 00:00:00,751,J16-90
2012-04-01 00:00:00,952,PB6090
2012-04-01 00:00:00,644,TB80120G
2012-04-02 00:00:00,575,A01-80-(30)
2012-04-02 00:00:00,1457,AHEK
2012-04-02 00:00:00,39,C02-80
2012-04-02 00:00:00,865,J16-90
2012-04-02 00:00:00,1045,PB6090
2012-04-02 00:00:00,684,TB80120G
2012-04-03 00:00:00,543,A01-80-(30)
2012-04-03 00:00:00,1447,AHEK
2012-04-03 00:00:00,35,C02-80
2012-04-03 00:00:00,852,J16-90
2012-04-03 00:00:00,985,PB6090
2012-04-03 00:00:00,647,TB80120G
2012-04-04 00:00:00,521,A01-80-(30)
2012-04-04 00:00:00,1374,AHEK
2012-04-04 00:00:00,37,C02-80
2012-04-04 00:00:00,825,J16-90
2012-04-04 00:00:00,921,PB6090
2012-04-04 00:00:00,605,TB80120G
2012-04-05 00:00:00,672,A01-80-(30)
2012-04-05 00:00:00,1540,AHEK
2012-04-05 00:00:00,44,C02-80
2012-04-05 00:00:00,823,J16-90
2012-04-05 00:00:00,1001,PB6090
2012-04-05 00:00:00,752,TB80120G
2012-04-06 00:00:00,595,A01-80-(30)
2012-04-06 00:00:00,1385,AHEK
2012-04-06 00:00:00,44,C02-80
2012-04-06 00:00:00,721,J16-90
2012-04-06 00:00:00,935,PB6090
