Datum,Value,Code
2022-07-18 00:00:00,19028,BAAK
2022-07-18 00:00:00,22572,P3
2022-07-17 00:00:00,18002,BAAK
2022-07-17 00:00:00,21395,P3
2022-07-16 00:00:00,18114,BAAK
2022-07-16 00:00:00,21520,P3
2022-07-15 00:00:00,19983,BAAK
2022-07-15 00:00:00,23477,P3
2022-07-14 00:00:00,20091,BAAK
2022-07-14 00:00:00,23384,P3
2022-07-13 00:00:00,19988,BAAK
2022-07-13 00:00:00,23822,P3
2022-07-12 00:00:00,20465,BAAK
2022-07-12 00:00:00,23452,P3
2022-07-11 00:00:00,20948,BAAK
2022-07-11 00:00:00,24336,P3
2022-07-10 00:00:00,19575,BAAK
2022-07-10 00:00:00,22702,P3
2022-07-09 00:00:00,19424,BAAK
2022-07-09 00:00:00,22954,P3
2022-07-08 00:00:00,20661,BAAK
2022-07-08 00:00:00,24837,P3
2022-07-07 00:00:00,21018,BAAK
2022-07-07 00:00:00,24529,P3
2022-07-06 00:00:00,20605,BAAK
2022-07-06 00:00:00,24399,P3
2022-07-05 00:00:00,20256,BAAK
2022-07-05 00:00:00,23803,P3
2022-07-04 00:00:00,20832,BAAK
2022-07-04 00:00:00,24209,P3
2022-07-03 00:00:00,19302,BAAK
2022-07-03 00:00:00,22593,P3
2022-07-02 00:00:00,19288,BAAK
2022-07-02 00:00:00,22661,P3
2022-07-01 00:00:00,21086,BAAK
2022-07-01 00:00:00,24321,P3
2022-06-30 00:00:00,21286,BAAK
2022-06-30 00:00:00,23843,P3
2022-06-29 00:00:00,21392,BAAK
2022-06-29 00:00:00,23936,P3
2022-06-28 00:00:00,21028,BAAK
2022-06-28 00:00:00,23573,P3
2022-06-27 00:00:00,21169,BAAK
2022-06-27 00:00:00,24110,P3
2022-06-26 00:00:00,19603,BAAK
2022-06-26 00:00:00,22327,P3
2022-06-25 00:00:00,19624,BAAK
2022-06-25 00:00:00,22378,P3
2022-06-24 00:00:00,20682,BAAK
2022-06-24 00:00:00,23947,P3
2022-06-23 00:00:00,20069,BAAK
2022-06-23 00:00:00,23267,P3
2022-06-22 00:00:00,20071,BAAK
2022-06-22 00:00:00,23475,P3
2022-06-21 00:00:00,20623,BAAK
2022-06-21 00:00:00,23037,P3
2022-06-20 00:00:00,20719,BAAK
2022-06-20 00:00:00,23320,P3
2022-06-19 00:00:00,19333,BAAK
2022-06-19 00:00:00,21667,P3
2022-06-18 00:00:00,19515,BAAK
2022-06-18 00:00:00,21673,P3
2022-06-17 00:00:00,20667,BAAK
2022-06-17 00:00:00,23226,P3
2022-06-16 00:00:00,20516,BAAK
2022-06-16 00:00:00,21887,P3
2022-06-15 00:00:00,20662,BAAK
2022-06-15 00:00:00,22197,P3
2022-06-14 00:00:00,20770,BAAK
2022-06-14 00:00:00,22574,P3
2022-06-13 00:00:00,20506,BAAK
2022-06-13 00:00:00,22901,P3
2022-06-12 00:00:00,18414,BAAK
2022-06-12 00:00:00,21343,P3
2022-06-11 00:00:00,18459,BAAK
2022-06-11 00:00:00,21499,P3
2022-06-10 00:00:00,20008,BAAK
2022-06-10 00:00:00,22831,P3
2022-06-09 00:00:00,19430,BAAK
2022-06-09 00:00:00,21284,P3
2022-06-08 00:00:00,19289,BAAK
2022-06-08 00:00:00,21073,P3
2022-06-07 00:00:00,19262,BAAK
2022-06-07 00:00:00,21211,P3
2022-06-06 00:00:00,17851,BAAK
2022-06-06 00:00:00,19846,P3
2022-06-05 00:00:00,17820,BAAK
2022-06-05 00:00:00,19787,P3
2022-06-04 00:00:00,18050,BAAK
2022-06-04 00:00:00,20019,P3
2022-06-03 00:00:00,19630,BAAK
2022-06-03 00:00:00,21673,P3
2022-06-02 00:00:00,19472,BAAK
2022-06-02 00:00:00,20883,P3
2022-06-01 00:00:00,19474,BAAK
2022-06-01 00:00:00,20968,P3
2022-05-31 00:00:00,19325,BAAK
2022-05-31 00:00:00,20853,P3
2022-05-30 00:00:00,19146,BAAK
2022-05-30 00:00:00,21012,P3
2022-05-29 00:00:00,17385,BAAK
2022-05-29 00:00:00,19415,P3
2022-05-28 00:00:00,17390,BAAK
2022-05-28 00:00:00,19500,P3
2022-05-27 00:00:00,17807,BAAK
2022-05-27 00:00:00,20132,P3
2022-05-26 00:00:00,17073,BAAK
2022-05-26 00:00:00,18672,P3
2022-05-25 00:00:00,18198,BAAK
2022-05-25 00:00:00,19890,P3
2022-05-24 00:00:00,18969,BAAK
2022-05-24 00:00:00,20192,P3
2022-05-23 00:00:00,19272,BAAK
2022-05-23 00:00:00,21290,P3
2022-05-22 00:00:00,18122,BAAK
2022-05-22 00:00:00,19899,P3
2022-05-21 00:00:00,18171,BAAK
2022-05-21 00:00:00,19947,P3
2022-05-20 00:00:00,19633,BAAK
2022-05-20 00:00:00,21804,P3
2022-05-19 00:00:00,20354,BAAK
2022-05-19 00:00:00,21904,P3
2022-05-18 00:00:00,20271,BAAK
2022-05-18 00:00:00,21614,P3
2022-05-17 00:00:00,20053,BAAK
2022-05-17 00:00:00,21460,P3
2022-05-16 00:00:00,20488,BAAK
2022-05-16 00:00:00,21725,P3
2022-05-15 00:00:00,18724,BAAK
2022-05-15 00:00:00,20220,P3
2022-05-14 00:00:00,18876,BAAK
2022-05-14 00:00:00,20359,P3
2022-05-13 00:00:00,19773,BAAK
2022-05-13 00:00:00,21776,P3
2022-05-12 00:00:00,19478,BAAK
2022-05-12 00:00:00,20970,P3
2022-05-11 00:00:00,19531,BAAK
2022-05-11 00:00:00,21188,P3
2022-05-10 00:00:00,19497,BAAK
2022-05-10 00:00:00,21191,P3
2022-05-09 00:00:00,19350,BAAK
2022-05-09 00:00:00,21892,P3
2022-05-08 00:00:00,17397,BAAK
2022-05-08 00:00:00,20318,P3
2022-05-07 00:00:00,17585,BAAK
2022-05-07 00:00:00,20484,P3
2022-05-06 00:00:00,18970,BAAK
2022-05-06 00:00:00,22112,P3
2022-05-05 00:00:00,18930,BAAK
2022-05-05 00:00:00,21631,P3
2022-05-04 00:00:00,19269,BAAK
2022-05-04 00:00:00,22041,P3
2022-05-03 00:00:00,19286,BAAK
2022-05-03 00:00:00,21824,P3
2022-05-02 00:00:00,19137,BAAK
2022-05-02 00:00:00,21896,P3
2022-05-01 00:00:00,17989,BAAK
2022-05-01 00:00:00,20243,P3
2022-04-30 00:00:00,17996,BAAK
2022-04-30 00:00:00,20313,P3
2022-04-29 00:00:00,19014,BAAK
2022-04-29 00:00:00,21499,P3
2022-04-28 00:00:00,18622,BAAK
2022-04-28 00:00:00,20729,P3
2022-04-27 00:00:00,18068,BAAK
2022-04-27 00:00:00,19531,P3
2022-04-26 00:00:00,19110,BAAK
2022-04-26 00:00:00,20479,P3
2022-04-25 00:00:00,19519,BAAK
2022-04-25 00:00:00,20419,P3
2022-04-24 00:00:00,18080,BAAK
2022-04-24 00:00:00,19223,P3
2022-04-23 00:00:00,18130,BAAK
2022-04-23 00:00:00,19252,P3
2022-04-22 00:00:00,19532,BAAK
2022-04-22 00:00:00,20639,P3
2022-04-21 00:00:00,19425,BAAK
2022-04-21 00:00:00,20102,P3
2022-04-20 00:00:00,19249,BAAK
2022-04-20 00:00:00,19951,P3
2022-04-19 00:00:00,19214,BAAK
2022-04-19 00:00:00,20051,P3
2022-04-18 00:00:00,17613,BAAK
2022-04-18 00:00:00,18610,P3
2022-04-17 00:00:00,17602,BAAK
2022-04-17 00:00:00,18640,P3
2022-04-16 00:00:00,17663,BAAK
2022-04-16 00:00:00,18706,P3
2022-04-15 00:00:00,18741,BAAK
2022-04-15 00:00:00,20148,P3
2022-04-14 00:00:00,18643,BAAK
2022-04-14 00:00:00,19831,P3
2022-04-13 00:00:00,19522,BAAK
2022-04-13 00:00:00,20022,P3
2022-04-12 00:00:00,19343,BAAK
2022-04-12 00:00:00,20018,P3
2022-04-11 00:00:00,19581,BAAK
2022-04-11 00:00:00,21814,P3
2022-04-10 00:00:00,17910,BAAK
2022-04-10 00:00:00,20301,P3
2022-04-09 00:00:00,17720,BAAK
2022-04-09 00:00:00,20031,P3
2022-04-08 00:00:00,19039,BAAK
2022-04-08 00:00:00,21776,P3
2022-04-07 00:00:00,19190,BAAK
2022-04-07 00:00:00,21446,P3
2022-04-06 00:00:00,20025,BAAK
2022-04-06 00:00:00,21756,P3
2022-04-05 00:00:00,20127,BAAK
2022-04-05 00:00:00,21455,P3
2022-04-04 00:00:00,19987,BAAK
2022-04-04 00:00:00,21815,P3
2022-04-03 00:00:00,18748,BAAK
2022-04-03 00:00:00,20383,P3
2022-04-02 00:00:00,18753,BAAK
2022-04-02 00:00:00,20310,P3
2022-04-01 00:00:00,19903,BAAK
2022-04-01 00:00:00,21591,P3
2022-03-31 00:00:00,19187,BAAK
2022-03-31 00:00:00,20530,P3
2022-03-30 00:00:00,19045,BAAK
2022-03-30 00:00:00,20802,P3
2022-03-29 00:00:00,19315,BAAK
2022-03-29 00:00:00,20250,P3
2022-03-28 00:00:00,19276,BAAK
2022-03-28 00:00:00,20712,P3
2022-03-27 00:00:00,17904,BAAK
2022-03-27 00:00:00,18632,P3
2022-03-26 00:00:00,17993,BAAK
2022-03-26 00:00:00,18691,P3
2022-03-25 00:00:00,19156,BAAK
2022-03-25 00:00:00,20053,P3
2022-03-24 00:00:00,19143,BAAK
2022-03-24 00:00:00,19495,P3
2022-03-23 00:00:00,19658,BAAK
2022-03-23 00:00:00,19838,P3
2022-03-22 00:00:00,19432,BAAK
2022-03-22 00:00:00,19882,P3
2022-03-21 00:00:00,20070,BAAK
2022-03-21 00:00:00,20264,P3
2022-03-20 00:00:00,18224,BAAK
2022-03-20 00:00:00,18985,P3
2022-03-19 00:00:00,18203,BAAK
2022-03-19 00:00:00,18966,P3
2022-03-18 00:00:00,19161,BAAK
2022-03-18 00:00:00,20315,P3
2022-03-17 00:00:00,18562,BAAK
2022-03-17 00:00:00,19629,P3
2022-03-16 00:00:00,18776,BAAK
2022-03-16 00:00:00,19614,P3
2022-03-15 00:00:00,19152,BAAK
2022-03-15 00:00:00,19580,P3
2022-03-14 00:00:00,19079,BAAK
2022-03-14 00:00:00,19935,P3
2022-03-13 00:00:00,17813,BAAK
2022-03-13 00:00:00,18512,P3
2022-03-12 00:00:00,17827,BAAK
2022-03-12 00:00:00,18528,P3
2022-03-11 00:00:00,19114,BAAK
2022-03-11 00:00:00,19745,P3
2022-03-10 00:00:00,18490,BAAK
2022-03-10 00:00:00,18857,P3
2022-03-09 00:00:00,18548,BAAK
2022-03-09 00:00:00,18702,P3
2022-03-08 00:00:00,18698,BAAK
2022-03-08 00:00:00,18994,P3
2022-03-07 00:00:00,18222,BAAK
2022-03-07 00:00:00,18792,P3
2022-03-06 00:00:00,16306,BAAK
2022-03-06 00:00:00,17051,P3
2022-03-05 00:00:00,16346,BAAK
2022-03-05 00:00:00,17163,P3
