Datum,Value,Code
2007-02-10 00:00:00,1048,AHEK
2007-02-10 00:00:00,7,C02-80
2007-02-10 00:00:00,280,J16-90
2007-02-10 00:00:00,318,PB6090
2007-02-10 00:00:00,124,TB80120G
2007-02-11 00:00:00,211,A01-80-(30)
2007-02-11 00:00:00,1048,AHEK
2007-02-11 00:00:00,7,C02-80
2007-02-11 00:00:00,280,J16-90
2007-02-11 00:00:00,318,PB6090
2007-02-11 00:00:00,124,TB80120G
2007-02-12 00:00:00,217,A01-80-(30)
2007-02-12 00:00:00,1098,AHEK
2007-02-12 00:00:00,7,C02-80
2007-02-12 00:00:00,294,J16-90
2007-02-12 00:00:00,354,PB6090
2007-02-12 00:00:00,126,TB80120G
2007-02-13 00:00:00,219,A01-80-(30)
2007-02-13 00:00:00,1171,AHEK
2007-02-13 00:00:00,7,C02-80
2007-02-13 00:00:00,310,J16-90
2007-02-13 00:00:00,354,PB6090
2007-02-13 00:00:00,146,TB80120G
2007-02-14 00:00:00,224,A01-80-(30)
2007-02-14 00:00:00,1161,AHEK
2007-02-14 00:00:00,7,C02-80
2007-02-14 00:00:00,313,J16-90
2007-02-14 00:00:00,348,PB6090
2007-02-14 00:00:00,152,TB80120G
2007-02-15 00:00:00,217,A01-80-(30)
2007-02-15 00:00:00,1183,AHEK
2007-02-15 00:00:00,9,C02-80
2007-02-15 00:00:00,294,J16-90
2007-02-15 00:00:00,368,PB6090
2007-02-15 00:00:00,163,TB80120G
2007-02-16 00:00:00,216,A01-80-(30)
2007-02-16 00:00:00,1215,AHEK
2007-02-16 00:00:00,9,C02-80
2007-02-16 00:00:00,317,J16-90
2007-02-16 00:00:00,372,PB6090
2007-02-16 00:00:00,161,TB80120G
2007-02-17 00:00:00,191,A01-80-(30)
2007-02-17 00:00:00,1180,AHEK
2007-02-17 00:00:00,7,C02-80
2007-02-17 00:00:00,295,J16-90
2007-02-17 00:00:00,323,PB6090
2007-02-17 00:00:00,157,TB80120G
2007-02-18 00:00:00,191,A01-80-(30)
2007-02-18 00:00:00,1180,AHEK
2007-02-18 00:00:00,7,C02-80
2007-02-18 00:00:00,295,J16-90
2007-02-18 00:00:00,323,PB6090
2007-02-18 00:00:00,157,TB80120G
2007-02-19 00:00:00,194,A01-80-(30)
2007-02-19 00:00:00,1193,AHEK
2007-02-19 00:00:00,7,C02-80
2007-02-19 00:00:00,300,J16-90
2007-02-19 00:00:00,345,PB6090
2007-02-19 00:00:00,166,TB80120G
2007-02-20 00:00:00,205,A01-80-(30)
2007-02-20 00:00:00,1209,AHEK
2007-02-20 00:00:00,6,C02-80
2007-02-20 00:00:00,312,J16-90
2007-02-20 00:00:00,349,PB6090
2007-02-20 00:00:00,169,TB80120G
2007-02-21 00:00:00,212,A01-80-(30)
2007-02-21 00:00:00,1199,AHEK
2007-02-21 00:00:00,6,C02-80
2007-02-21 00:00:00,314,J16-90
2007-02-21 00:00:00,350,PB6090
2007-02-21 00:00:00,164,TB80120G
2007-02-22 00:00:00,227,A01-80-(30)
2007-02-22 00:00:00,1139,AHEK
